user_id,n_points,q,S_unc,S_rand,Pi_max,Rg_km,R,R_rand
1424,17,0.6869244935543277,2.8163075192246447,3.169925001442312,1.0,3.0746418511378355,1.0,0.1111111111111111
5120,6,0.7945205479452054,2.584962500721156,2.584962500721156,0.16666666666666666,1.958887839783309,1.0,0.16666666666666666
6815,11,0.7013274336283186,3.4594316186372978,3.4594316186372973,0.09090909090909091,2.8322607204166794,0.8181818181818182,0.09090909090909091
8122,6,0.7808219178082192,2.2516291673878226,2.321928094887362,1.0,1.2321774013248334,0.6666666666666666,0.2
13139,10,0.7939560439560439,2.8464393446710154,3.0,1.0,1.3377601911407186,1.0,0.125
16862,8,0.7692307692307692,3.0,3.0,0.125,2.063805331661514,0.875,0.125
17035,8,0.7498511018463372,3.0,3.0,0.125,1.959275753736304,0.875,0.125
22013,10,0.795134443021767,3.121928094887362,3.169925001442312,1.0,6.632342275609155,0.8,0.1111111111111111
22261,6,0.6756756756756757,2.584962500721156,2.584962500721156,0.16666666666666666,1.6528312830737142,0.8333333333333334,0.16666666666666666
35634,14,0.7396963123644251,3.8073549220576055,3.807354922057604,0.07142857142857142,449.89794348371544,0.42857142857142855,0.07142857142857142
45767,12,0.7788697788697789,3.084962500721156,3.169925001442312,1.0,2.766134002390832,0.75,0.1111111111111111
55898,9,0.751209398756047,3.169925001442312,3.169925001442312,0.1111111111111111,2.4385616856369983,0.6666666666666666,0.1111111111111111
59206,11,0.7602131438721137,3.2776134368191157,3.321928094887362,1.0,4.151924916669932,0.8181818181818182,0.1
59465,8,0.5414012738853504,3.0,3.0,0.125,1.34187614018161,0.75,0.125
61641,16,0.7159090909090908,4.0,4.0,0.0625,1.427656783026439,0.9375,0.0625
63157,11,0.706601466992665,3.4594316186372978,3.4594316186372973,0.09090909090909091,2.199540616754,0.7272727272727273,0.09090909090909091
69420,9,0.7392563978754225,2.6416041678685933,2.807354922057604,1.0,0.9992920623779312,1.0,0.14285714285714285
76542,10,0.7959183673469388,2.8464393446710154,3.0,1.0,3.1583759808742333,1.0,0.125
86992,32,0.647887323943662,4.875,4.906890595608519,1.0,3.075686510413388,0.625,0.03333333333333333
89474,5,0.21052631578947367,2.321928094887362,2.321928094887362,0.2,2.0098433005217102,0.8,0.2
94949,7,0.609375,2.807354922057604,2.807354922057604,0.14285714285714285,3.5430545205992012,0.7142857142857143,0.14285714285714285
113356,7,0.7464788732394366,2.5216406363433186,2.584962500721156,1.0,2.119070495737095,0.8571428571428571,0.16666666666666666
117073,9,0.7955706984667803,2.94770277922009,3.0,1.0,2.3699005936196396,0.6666666666666666,0.125
117534,11,0.7821782178217822,3.095795255000934,3.169925001442312,1.0,1.6190765652529848,1.0,0.1111111111111111
129601,9,0.7886393659180978,2.4193819456463714,2.584962500721156,1.0,1.7354792834045911,0.8888888888888888,0.16666666666666666
132101,9,0.7841726618705036,3.169925001442312,3.169925001442312,0.1111111111111111,4.1184835383822564,0.7777777777777778,0.1111111111111111
132719,15,0.7857142857142857,3.906890595608518,3.9068905956085187,1.0,1.3303851832436697,0.7333333333333333,0.06666666666666667
142545,14,0.0,3.8073549220576055,3.807354922057604,0.07142857142857142,4.3680940235192045,0.14285714285714285,0.07142857142857142
145694,7,0.7954545454545454,2.5216406363433186,2.584962500721156,1.0,2.3867523784465416,0.8571428571428571,0.16666666666666666
145973,6,0.18918918918918926,2.584962500721156,2.584962500721156,0.16666666666666666,3.0028967966872173,0.16666666666666666,0.16666666666666666
151609,7,0.7980931015143018,2.807354922057604,2.807354922057604,0.14285714285714285,2.8932989326324865,0.8571428571428571,0.14285714285714285
161192,6,0.7575757575757576,2.2516291673878226,2.321928094887362,1.0,1.1991098398320146,0.6666666666666666,0.2
171256,6,0.7692307692307692,1.9182958340544893,2.0,1.0,2.726801686506005,1.0,0.25
180755,6,0.7978663672094329,1.7924812503605778,2.0,0.5,0.6639054882074708,1.0,0.25
197140,14,0.7718631178707225,3.8073549220576055,3.807354922057604,0.07142857142857142,3.584630005922469,0.9285714285714286,0.07142857142857142
199513,18,0.6703296703296704,3.7254805569978675,3.9068905956085187,1.0,3.6251653804449577,0.7777777777777778,0.06666666666666667
200031,18,0.7961783439490446,4.058813890331201,4.087462841250339,1.0,3.0925027373193865,0.8888888888888888,0.058823529411764705
208490,5,0.7925311203319503,2.321928094887362,2.321928094887362,0.2,3.1840563674024858,1.0,0.2
208858,5,0.607201309328969,2.321928094887362,2.321928094887362,0.2,1.5378158422162154,0.8,0.2
221625,13,0.7082658022690438,2.6535442970305683,3.0,1.0,3.4923677195831964,0.9230769230769231,0.125
221875,8,0.792507204610951,3.0,3.0,0.125,1.128530665746179,0.75,0.125
226252,13,0.7612279704377487,3.7004397181410926,3.700439718141092,0.07692307692307693,4.239487869292193,0.5384615384615384,0.07692307692307693
230190,5,0.6475770925110131,2.321928094887362,2.321928094887362,0.2,2.2273266821184654,0.8,0.2
256219,7,0.5652173913043479,2.5216406363433186,2.584962500721156,1.0,1.2578867504137183,0.8571428571428571,0.16666666666666666
294406,6,0.7720797720797721,2.584962500721156,2.584962500721156,0.16666666666666666,0.2108394236622318,0.6666666666666666,0.16666666666666666
328623,8,0.7549770290964778,3.0,3.0,0.125,2.5379582150582487,1.0,0.125
353940,12,0.7821063057114559,3.4182958340544896,3.4594316186372973,1.0,2.5080799537902614,0.9166666666666666,0.09090909090909091
